
Time	Session	Type	ReqestId	Status	Syntax	OID	Value
0.003	192.168.1.72	GETNEXT	1704275122	0(Success)		1.3.6.1	
0.003	192.168.1.75	GETNEXT	1704275123	0(Success)		1.3.6.1	
0.011	192.168.1.82	GETNEXT	1704275125	0(Success)		1.3.6.1	
0.012	192.168.1.72	RESPONSE	1704275122	0(Success)	OCTET STRING	1.3.6.1.2.1.1.1.0	Linux tanyamos-desktop 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:32:08 UTC 2012 i686
0.012	192.168.1.72	GETNEXT	1704275126	0(Success)		1.3.6.1.2.1.1.1.0	
0.012	192.168.1.72	RESPONSE	1704275126	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.2.0	1.3.6.1.4.1.8072.3.2.10
0.012	192.168.1.72	GETNEXT	1704275128	0(Success)		1.3.6.1.2.1.1.2.0	
0.012	192.168.1.72	RESPONSE	1704275128	0(Success)	TimeTicks	1.3.6.1.2.1.1.3.0	13 days, 1:03:59.05
0.012	192.168.1.72	GETNEXT	1704275130	0(Success)		1.3.6.1.2.1.1.3.0	
0.012	192.168.1.72	RESPONSE	1704275130	0(Success)	OCTET STRING	1.3.6.1.2.1.1.4.0	Sysadmin (root@localhost)
0.012	192.168.1.72	GETNEXT	1704275132	0(Success)		1.3.6.1.2.1.1.4.0	
0.012	192.168.1.72	RESPONSE	1704275132	0(Success)	OCTET STRING	1.3.6.1.2.1.1.5.0	tanyamos-desktop
0.012	192.168.1.72	GETNEXT	1704275134	0(Success)		1.3.6.1.2.1.1.5.0	
0.013	192.168.1.72	RESPONSE	1704275134	0(Success)	OCTET STRING	1.3.6.1.2.1.1.6.0	My Room
0.013	192.168.1.72	GETNEXT	1704275136	0(Success)		1.3.6.1.2.1.1.6.0	
0.013	192.168.1.72	RESPONSE	1704275136	0(Success)	TimeTicks	1.3.6.1.2.1.1.8.0	0:00:00.00
0.013	192.168.1.72	GETNEXT	1704275138	0(Success)		1.3.6.1.2.1.1.8.0	
0.013	192.168.1.72	RESPONSE	1704275138	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.1	1.3.6.1.6.3.10.3.1.1
0.013	192.168.1.72	GETNEXT	1704275140	0(Success)		1.3.6.1.2.1.1.9.1.2.1	
0.013	192.168.1.72	RESPONSE	1704275140	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.2	1.3.6.1.6.3.11.3.1.1
0.013	192.168.1.72	GETNEXT	1704275142	0(Success)		1.3.6.1.2.1.1.9.1.2.2	
0.013	192.168.1.72	RESPONSE	1704275142	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.3	1.3.6.1.6.3.15.2.1.1
0.013	192.168.1.72	GETNEXT	1704275144	0(Success)		1.3.6.1.2.1.1.9.1.2.3	
0.013	192.168.1.72	RESPONSE	1704275144	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.4	1.3.6.1.6.3.1
0.013	192.168.1.72	GETNEXT	1704275146	0(Success)		1.3.6.1.2.1.1.9.1.2.4	
0.013	192.168.1.72	RESPONSE	1704275146	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.5	1.3.6.1.2.1.49
0.013	192.168.1.72	GETNEXT	1704275148	0(Success)		1.3.6.1.2.1.1.9.1.2.5	
0.013	192.168.1.72	RESPONSE	1704275148	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.6	1.3.6.1.2.1.4
0.013	192.168.1.72	GETNEXT	1704275150	0(Success)		1.3.6.1.2.1.1.9.1.2.6	
0.014	192.168.1.72	RESPONSE	1704275150	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.7	1.3.6.1.2.1.50
0.014	192.168.1.72	GETNEXT	1704275152	0(Success)		1.3.6.1.2.1.1.9.1.2.7	
0.014	192.168.1.72	RESPONSE	1704275152	0(Success)	OBJECT IDENTIFIER	1.3.6.1.2.1.1.9.1.2.8	1.3.6.1.6.3.16.2.2.1
0.014	192.168.1.72	GETNEXT	1704275154	0(Success)		1.3.6.1.2.1.1.9.1.2.8	
0.014	192.168.1.72	RESPONSE	1704275154	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.1	The SNMP Management Architecture MIB.
0.014	192.168.1.72	GETNEXT	1704275156	0(Success)		1.3.6.1.2.1.1.9.1.3.1	
0.014	192.168.1.72	RESPONSE	1704275156	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.2	The MIB for Message Processing and Dispatching.
0.014	192.168.1.72	GETNEXT	1704275158	0(Success)		1.3.6.1.2.1.1.9.1.3.2	
0.014	192.168.1.72	RESPONSE	1704275158	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.3	The management information definitions for the SNMP User-based Security Model.
0.014	192.168.1.72	GETNEXT	1704275160	0(Success)		1.3.6.1.2.1.1.9.1.3.3	
0.014	192.168.1.72	RESPONSE	1704275160	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.4	The MIB module for SNMPv2 entities
0.014	192.168.1.72	GETNEXT	1704275162	0(Success)		1.3.6.1.2.1.1.9.1.3.4	
0.014	192.168.1.72	RESPONSE	1704275162	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.5	The MIB module for managing TCP implementations
0.014	192.168.1.72	GETNEXT	1704275164	0(Success)		1.3.6.1.2.1.1.9.1.3.5	
0.014	192.168.1.72	RESPONSE	1704275164	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.6	The MIB module for managing IP and ICMP implementations
0.014	192.168.1.72	GETNEXT	1704275166	0(Success)		1.3.6.1.2.1.1.9.1.3.6	
0.014	192.168.1.72	RESPONSE	1704275166	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.7	The MIB module for managing UDP implementations
0.014	192.168.1.72	GETNEXT	1704275168	0(Success)		1.3.6.1.2.1.1.9.1.3.7	
0.014	192.168.1.72	RESPONSE	1704275168	0(Success)	OCTET STRING	1.3.6.1.2.1.1.9.1.3.8	View-based Access Control Model for SNMP.
0.014	192.168.1.72	GETNEXT	1704275170	0(Success)		1.3.6.1.2.1.1.9.1.3.8	
